10,100,33513,7152,2496,43161
50,2500,1189404,1180432,115792,2485628
100,10000,4923222,5316944,476936,10717102
500,250000,124233110,137968304,12020776,274222190
1000,1000000,498641792,553923760,48327808,1100893360
